0,26802,25554,30045,6488,23202,38568,17596,13874,59875
22629,0,25450,4168,27497,24380,9090,24633,20910,59771
20338,24644,0,27887,25206,12357,36410,17352,18620,37666
19739,25501,22560,0,24606,21490,37267,21742,18020,56880
7833,26728,25453,29970,0,24877,38494,19173,15451,61538
22728,27071,13682,30313,26999,0,38836,21242,20735,47758
35604,10539,38424,17143,40471,37355,0,37607,33885,72745
15608,25215,19198,28458,20025,21251,36981,0,7333,37684
10453,21755,20480,24997,14021,20431,33521,8769,0,54801
56465,60771,38442,64013,61332,48487,72537,53478,54746,0
